Day,Bible,Book,Title
Apr-10,I Crôn. 5; 2 Kings 1-2,PR,17. The Call of Elisha
Apr-11,2 Kings 12; 2 Kings 3,PR,18. The Healing of the Waters
Apr-12,2 Kings 13-14; 2 Kings 4,PR,19. A Prophet of Peace
Apr-13,2 Kings 5-8,PR,20. Naaman
Apr-14,2 Kings 9-11,PR,21. Elisha's Closing Ministry
Apr-15,Jonah 1-4,PR,"22. Nineveh, That Great City"
Apr-16,Hosea 1-3,PR,23. The Assyrian Captivity
Apr-17,Hosea 4-10,,
Apr-18,Hosea 11-14,PR,24. Destroyed for Lack of Knowledge
Apr-19,Isaiah 1-6,PR,25. The Call of Isaiah
Apr-20,Isaiah 40-42,PR,26. Behold Your God!
Apr-21,II Crôn. 28; 2 Kings 15-17,PR,27. Ahaz
Apr-22,Isaiah 37-39; 2 Kings 18-20,PR,28. Hezekiah
Apr-23,II Crôn. 29-32,PR,29. The Ambassadors From Babylon
Apr-24,Nahum 1-3,PR,30. Deliverance From Assyria
Apr-25,Isaiah 7-11,PR,31. Hope for the Heathen
Apr-26,2 Kings 21-23,PR,32. Manasseh and Josiah
Apr-27,II Crôn. 24-27,PR,33. The Book of the Law
Apr-28,Jeremiah 1-3,PR,34. Jeremiah
Apr-29,2 Kings 24-25,PR,35. Approaching Doom
Apr-30,2 Kings 33-36,PR,36. The Last King of Judah
May-01,Jeremiah 36-38,PR,37. Carried Captive Into Babylon
May-02,Jeremiah 29-32,PR,38. Light Through Darkness
May-03,I Crôn. 6-8; Daniel 1,PR,39. In the Court of Babylon
May-04,Daniel 7-8; Daniel 2,PR,40. Nebuchadnezzar's Dream
May-05,I Crôn. 9-11; Daniel 3,PR,41. The Fiery Furnace
May-06,I Crôn. 12-13; Daniel 4,PR,42. True Greatness
May-07,I Crôn. 14-15; Daniel 5,PR,43. The Unseen Watcher
May-08,I Crôn. 16-17; Daniel 6,PR,44. In the Lions' Den
May-09,Ezra 1-3,PR,45. The Return of the Exiles
May-10,Haggai 1-2,PR,46. The Prophets of God Helping Them
May-11,Zech. 1-4,PR,47. Joshua and the Angel
May-12,Zech. 5-9,PR,"48. Not by Might, nor by Power"
May-13,Esther 1-3,PR,49. In the Days of Queen Esther
May-14,Ezra 4-6,PR,"50. Ezra, the Priest and Scribe"
May-15,Ezra 7-10,PR,51. A Spiritual Revival
May-16,Nehemiah 1-2,PR,52. A Man of Opportunity
May-17,Esther 4; Nehemiah 3-4,PR,53. The Builders on the Wall
May-18,Esther 5-7; Nehemiah 5,PR,54. A Rebuke Against Extortion
May-19,Esther 8-10; Nehemiah 6,PR,55. Heathen Plots
May-20,Nehemiah 7-10,PR,56. Instructed in the Law of God
May-21,Nehemiah 11-13,PR,57. Reformation
May-22,Zech. 10-14,PR,58. The Coming of a Deliverer
May-23,Malaq. 1-4,PR,59. The House of Israel
May-24,Isaiah 63-66,PR,60. Visions of Future Glory
May-25,Mark 1-3,DTN,Preface
May-26,Isaiah 12-13; Matthew 11,DTN,1. God With Us
May-27,Isaiah 14-15,DTN,2. The Chosen People
May-28,Isaiah 17-19,DTN,3. The Fullness of the Time
May-29,Isaiah 20-22; Luke 2:1-20,DTN,4. Unto You a Savior
May-30,Isaiah 23-25; Luke 2:21-38,DTN,5. The Dedication
May-31,Isaiah 26-28; Matthew 2,DTN,6. We Have Seen His Star
Jun-01,Isaiah 29-30; Luke 2:39-40,DTN,7. As a Child
Jun-02,Isaiah 31-33; Luke 2:41-51,DTN,8. The Passover Visit
Jun-03,Isaiah 34-36,DTN,9. Days of Conflict
Jun-04,Matthew 3:1-12; Luke 1,DTN,10. The Voice in the Wilderness
Jun-05,Isaiah 43-45; Matthew 3:13-17,DTN,11. The Baptism
Jun-06,Isaiah 46; Matthew 4,DTN,12. The Temptation
Jun-07,Isaiah 47-49; Luke 4:1-13,DTN,13. The Victory
Jun-08,Isaiah 50-51; John 1,DTN,14. We Have Found the Messias
Jun-09,Isaiah 52-53; John 2:1-11,DTN,15. At the Marriage Feast
